time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,FliBe_mass_flow,FliBe_mass_flow2,Fuel_mass_flow,Gas_mass_flow,HX2_Tin_p,HX2_Tout_p,HX2_Tout_s,HX_Pin_s,HX_Tin_p,HX_Tout_p,HX_Tout_s,HX_Uout_s,MSFR_core_Coolant_Density_Reactivity,Power,Total_Reactivity_Feedback,fml1_MSFR_core_in,fml1_MSFR_core_out,fml1_ss_MSFR_core_in,fml1_ss_MSFR_core_out,fml2_MSFR_core_in,fml2_MSFR_core_out,fml2_ss_MSFR_core_in,fml2_ss_MSFR_core_out,fml3_MSFR_core_in,fml3_MSFR_core_out,fml3_ss_MSFR_core_in,fml3_ss_MSFR_core_out,fml4_MSFR_core_in,fml4_MSFR_core_out,fml4_ss_MSFR_core_in,fml4_ss_MSFR_core_out,fml5_MSFR_core_in,fml5_MSFR_core_out,fml5_ss_MSFR_core_in,fml5_ss_MSFR_core_out,fml6_MSFR_core_in,fml6_MSFR_core_out,fml6_ss_MSFR_core_in,fml6_ss_MSFR_core_out
0,218571.71461707,111916.57531132,951.40166486631,1050.7108949014,-16846.459901668,16846.45990432,18085.754302866,-2571.2283997224,961.94028560241,888.35634870054,897.11168880514,199584.41833398,1050.6928241989,951.72983740307,961.91993173169,-2.4074346828551,0,2999999768.7132,0,3267.1498789002,3418.126778469,3267.1498826879,3418.1267871493,11222.28067925,12448.1689934,11222.280692261,12448.169025012,1780.2143770017,2632.8049745507,1780.2143790655,2632.8049812366,982.3721720118,2741.30260745,982.37217315069,2741.3026144114,30.957555654014,693.39810686008,30.957555689904,693.39810862095,-1.3586514454438,56.735907650453,-1.3586514470189,56.735907794532
5,218571.71589711,111916.57569901,951.40161158684,1050.7108653578,-16846.459736531,16846.460088836,18085.754283558,-2571.2279611529,961.94021242067,888.35619961263,897.10589046185,199584.42032565,1050.6928000365,951.72977347274,961.91987204464,-2.4074346130121,0,2999999768.7132,0,3267.149838367,3418.1267410896,3267.1498789002,3418.126778469,11222.280540023,12448.168857271,11222.28067925,12448.1689934,1780.2143549158,2632.8049457592,1780.2143770017,2632.8049745507,982.3721598242,2741.302577472,982.3721720118,2741.30260745,30.957555269945,693.39809927732,30.957555654014,693.39810686008,-1.358651428588,56.735907030008,-1.3586514454438,56.735907650453
10,218571.71800624,111916.57628666,951.40153066794,1050.7108119161,-16846.459711402,16846.459897934,18085.754281826,-2571.2279557291,961.94013005911,888.35606907553,897.10566512087,199584.42423666,1050.6927542962,951.72968423865,961.91978385569,-2.4074345517051,0,2999999768.7132,0,3267.149781791,3418.1266891735,3267.149838367,3418.1267410896,11222.280345691,12448.168668202,11222.280540023,12448.168857271,1780.2143240885,2632.804905771,1780.2143549158,2632.8049457592,982.37214281284,2741.3025358359,982.3721598242,2741.302577472,30.957554733865,693.39808874567,30.957555269945,693.39809927732,-1.3586514050607,56.735906168278,-1.358651428588,56.735907030008
15,218571.72068962,111916.57707849,951.40144054994,1050.7107388639,-16846.459679333,16846.459777102,18085.754315314,-2571.2279527675,961.94003745819,888.35599678727,897.10560934671,199584.42761513,1050.6926859141,951.72959559642,961.9196909395,-2.4074344952007,0,2999999768.7132,0,3267.1497251815,3418.1266385176,3267.149781791,3418.1266891735,11222.280151244,12448.168483723,11222.280345691,12448.168668202,1780.2142932429,2632.8048667534,1780.2143240885,2632.804905771,982.37212579138,2741.3024952104,982.37214281284,2741.3025358359,30.957554197467,693.39807846966,30.957554733865,693.39808874567,-1.3586513815195,56.735905327464,-1.3586514050607,56.735906168278
20,218571.72325403,111916.57787716,951.40136201405,1050.7106660192,-16846.459637818,16846.459734071,18085.754360833,-2571.2279504933,961.9399545978,888.3559407625,897.10555016769,199584.42991336,1050.6926116299,951.72952168153,961.91961216318,-2.4074344451937,0,2999999768.7132,0,3267.1496787982,3418.1265977995,3267.1497251815,3418.1266385176,11222.279991923,12448.168335436,11222.280151244,12448.168483723,1780.2142679694,2632.8048353904,1780.2142932429,2632.8048667534,982.37211184477,2741.3024625549,982.37212579138,2741.3024952104,30.957553757966,693.39807020963,30.957554197467,693.39807846966,-1.3586513622309,56.735904651603,-1.3586513815195,56.735905327464
25,218571.72539375,111916.57855807,951.40129725327,1050.7106044579,-16846.459607477,16846.45970144,18085.754400254,-2571.2279483824,961.93988655912,888.35588944765,897.10549320754,199584.43175554,1050.692546265,951.72945953954,961.91954693733,-2.4074344021719,0,2999999768.7132,0,3267.1496408912,3418.1265645912,3267.1496787982,3418.1265977995,11222.279861717,12448.168214497,11222.279991923,12448.168335436,1780.2142473146,2632.8048098117,1780.2142679694,2632.8048353904,982.37210044684,2741.3024359222,982.37211184477,2741.3024625549,30.957553398783,693.39806347302,30.957553757966,693.39807020963,-1.3586513464672,56.735904100394,-1.3586513622309,56.735904651603
30,218571.72716661,111916.57911837,951.40124227597,1050.7105540741,-16846.4595839,16846.459664778,18085.754432212,-2571.2279465631,961.93982942683,888.35584493157,897.10544418689,199584.43341404,1050.6924930552,951.72940609894,961.91949129714,-2.4074343656834,0,2999999768.7132,0,3267.1496084385,3418.1265360311,3267.1496408912,3418.1265645912,11222.279750246,12448.168110487,11222.279861717,12448.168214497,1780.2142296317,2632.8047878133,1780.2142473146,2632.8048098117,982.37209068891,2741.3024130172,982.37210044684,2741.3024359222,30.95755309128,693.39805767934,30.957553398783,693.39806347302,-1.3586513329717,56.735903626337,-1.3586513464672,56.735904100394
35,218571.72867079,111916.5795893,951.40119524168,1050.7105116063,-16846.459562959,16846.459630958,18085.754458612,-2571.2279450157,961.93978059457,888.35580713751,897.10540259207,199584.43486002,1050.6924490191,951.72936058839,961.91944377801,-2.4074343348327,0,2999999768.7132,0,3267.1495805045,3418.1265114125,3267.1496084385,3418.1265360311,11222.279654296,12448.168020831,11222.279750246,12448.168110487,1780.2142144109,2632.804768851,1780.2142296317,2632.8047878133,982.37208228968,2741.3023932734,982.37209068891,2741.3024130172,30.957552826595,693.39805268524,30.95755309128,693.39805767934,-1.3586513213553,56.735903217705,-1.3586513329717,56.735903626337
40,218571.72995255,111916.57998969,951.40115531401,1050.7104753263,-16846.459544955,16846.459602596,18085.754480654,-2571.2279436993,961.93973901118,888.35577500426,897.10536721724,199584.43608521,1050.6924115482,951.72932204067,961.91940342521,-2.4074343086609,0,2999999768.7133,0,3267.1495567246,3418.1264904555,3267.1495805045,3418.1265114125,11222.279572614,12448.167944509,11222.279654296,12448.168020831,1780.2142014536,2632.8047527088,1780.2142144109,2632.804768851,982.37207513948,2741.3023764661,982.37208228968,2741.3023932734,30.95755260127,693.39804843391,30.957552826595,693.39805268524,-1.3586513114663,56.735902869848,-1.3586513213553,56.735903217705
45,218571.73104171,111916.58033075,951.40112144617,1050.7104444633,-16846.459529727,16846.459578705,18085.7544994,-2571.2279425801,961.93970369875,888.35574769094,897.10533715494,199584.43712305,1050.6923795526,951.72928929555,961.91936914878,-2.40743428639,0,2999999768.7133,0,3267.1495365627,3418.1264726905,3267.1495567246,3418.1264904555,11222.279503361,12448.167879812,11222.279572614,12448.167944509,1780.2141904678,2632.8047390254,1780.2142014536,2632.8047527088,982.37206907718,2741.3023622187,982.37207513948,2741.3023764661,30.957552410229,693.39804483012,30.95755260127,693.39804843391,-1.358651303082,56.735902574976,-1.3586513114663,56.735902869848
