time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,Core_vel_in,HX_Tin_p,HX_Tout_p,hx_j1:pressure,hx_j1:rho,hx_j1:temperature,hx_j1:velocity,hx_j2:pressure,hx_j2:rho,hx_j2:temperature,hx_j2:velocity,j1:pressure,j1:rho,j1:temperature,j1:velocity,j2:pressure,j2:rho,j2:temperature,j2:velocity,j3:pressure,j3:rho,j3:temperature,j3:velocity,j4:pressure,j4:rho,j4:temperature,j4:velocity,j5:pressure,j5:rho,j5:temperature,j5:velocity,j_c_up:pressure,j_c_up:rho,j_c_up:temperature,j_c_up:velocity,j_dn_pl:pressure,j_dn_pl:rho,j_dn_pl:temperature,j_dn_pl:velocity,j_ip_c:pressure,j_ip_c:rho,j_ip_c:temperature,j_ip_c:velocity,j_up_ps1:pressure,j_up_ps1:rho,j_up_ps1:temperature,j_up_ps1:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,100000,100000,908.15,908.15,0,908.15,908.15,100000,2010.7066504,824.8167,0,100000,2010.7066504,824.8167,0,100000,2196.4297,908.15,0,100000,2196.4297,908.15,0,100000,2196.4297,908.15,0,100000,2196.4297,908.15,0,100000,2196.4297,908.15,0,100000,2196.4297,908.15,0,100000,2196.4297,908.15,0,100000,2196.4297,908.15,0,100000,2196.4297,908.15,0,110000,43909.58,2196.4297,908.15,0
0.2,173026.57569509,135448.5653371,908.66521996144,908.89775124248,0.020657400549063,908.00595597151,907.64274325535,167803.54013411,2010.6565644921,824.91933505715,1.6003180927482,166469.21733111,2010.6801055332,824.87109521885,1.6003180927444,113009.99193953,2196.4297000168,908.14999997013,0.60637096965641,126367.92077203,2196.4296999876,908.15000002208,0.61833566912805,124130.29153111,2196.7134079603,907.64518156525,0.60502912033819,143080.33359069,2196.4297049876,908.14999112521,0.57252744021931,136514.42231688,2196.429699997,908.15000000536,0.57252744022659,135444.05995562,2196.011483836,908.89415687553,0.067829611865567,173172.37405635,2196.4297000104,908.14999998153,0.062804525259658,173023.12044474,2196.4297000316,908.14999994382,0.062804525258387,125994.19820514,2196.4296933601,908.15001181481,0.067829549161126,133767.5211579,43909.58,2196.429699997,908.15000000531,0.6063709696437
0.4,171429.28465935,133868.39745085,908.80668528578,909.64559791117,0.041808793701825,908.07604291403,906.9119029812,101886.43679352,2010.5581984168,825.12090488358,1.600782401636,105453.69094133,2010.6204791198,824.99328049219,1.6007824016361,110920.23665421,2196.4296999989,908.15000000198,1.1812217532204,124566.73194842,2196.4296999995,908.15000000096,1.2045292069143,122388.10669639,2197.1235296369,906.91542769235,1.1824695564661,140842.87526545,2196.4302142179,908.14908502156,1.1587041172183,133851.15890438,2196.4297006498,908.14999884378,1.1587041185225,133851.30378053,2195.5912039259,909.64198589704,0.1321334450289,171569.20312171,2196.4297000013,908.14999999764,0.12710633057747,171414.57013644,2196.429700001,908.14999999824,0.12710633057747,124408.87396257,2196.4296782262,908.15003874333,0.13213320391634,131772.83977629,43909.58,2196.429700001,908.14999999825,1.1812217532203
0.6,171739.05796394,134208.47035311,908.53897955639,910.39357186679,0.062015038762383,908.17292669298,905.9321271697,123884.72561187,2010.384067787,825.47772994475,1.6013660789503,125816.84227344,2010.4992496608,825.24170151478,1.6013660789504,109452.96795016,2196.4296999436,908.15000010044,1.730520956787,122514.43055422,2196.4296999997,908.15000000054,1.7646669898726,120334.94248634,2197.6734882306,905.93685368216,1.7357945183705,139078.51121784,2196.447663155,908.11803709074,1.7188250242009,132321.300997,2196.4299089212,908.14962825413,1.7188250917679,134171.78913078,2195.1708429544,910.38995915591,0.19357914820256,171847.98072402,2196.4297000011,908.14999999798,0.18854990409223,171705.25622207,2196.429700001,908.1499999983,0.18854990409224,124732.95695802,2196.4296581464,908.15007447252,0.19357862133105,130006.33902508,43909.58,2196.4297000005,908.14999999915,1.7305209567867
0.8,171826.45616762,134327.69792427,908.14917017767,911.14168378381,0.080981863458426,908.17554557114,904.73632883994,123896.36720537,2010.1203883558,826.01805664788,1.6020111009069,125827.92445171,2010.2957919337,825.65862308672,1.6020111009068,107472.05133061,2196.4296990412,908.15000170598,2.2462740274496,120005.41199803,2196.4296999972,908.150000005,2.2905967193829,117886.76051719,2198.3449400795,904.74209950263,2.2565317897599,136732.8126672,2196.5880628622,907.86821554765,2.2447376661674,130062.56973004,2196.4363139058,908.13823148438,2.2447384430647,134265.90578987,2194.7504044316,911.13807040649,0.25127244590482,171899.86249637,2196.4297000005,908.14999999903,0.24624100853099,171767.0476885,2196.4297000009,908.14999999834,0.24624100853097,124833.09192491,2196.4296519867,908.15008543284,0.25127151894109,127737.75092126,43909.58,2196.4296999278,908.1500001285,2.2462740274448
1,172013.64171731,134549.58064251,907.92976540263,911.88993727501,0.09851197982367,908.15243564602,903.37165661794,123899.31204427,2009.7637742225,826.74882331457,1.602668153563,125830.75775723,2010.0000879463,826.26457388049,1.6026681535629,105268.47014301,2196.4296942992,908.15001014371,2.7229553739076,117192.06576128,2196.4296999392,908.15000010819,2.7766837750896,115154.95006683,2199.1114268496,903.37824403988,2.7388295966187,134114.50448237,2197.0605355674,907.027516784,2.7308054160735,127542.12298076,2196.4963129186,908.03147167516,2.7308091459361,134458.79725432,2194.3298863538,911.88632321392,0.30459521201522,172046.4884219,2196.4296999995,908.1500000008,0.29956153182415,171924.71731787,2196.429700001,908.14999999828,0.29956153182416,125032.77213923,2196.4296855654,908.15002568428,0.3045937959474,125201.99878451,43909.58,2196.429699113,908.15000157832,2.7229553738743
1.2,172246.44835746,134819.31016103,907.9397980336,912.63833359943,0.11448813086205,908.14445485405,901.88502747558,123892.89316778,2009.3186201608,827.66102426073,1.6033030714154,125824.70395245,2009.6117129316,827.06042432051,1.6033030714152,102925.71403448,2196.4296846515,908.15002731058,3.1572618554128,114194.51881231,2196.4296994132,908.15000104421,3.2195598397979,112248.77631266,2199.9465807653,901.89220504393,3.1791055822979,131331.06964265,2197.9425627352,905.45807342495,3.1736573027186,124862.28399181,2196.7576410932,907.56647492316,3.1736673433865,134697.28087327,2193.9092880071,912.63471884852,0.3531779184619,172236.69920628,2196.4296999986,908.15000000255,0.34814194053358,172126.5518164,2196.4297000008,908.14999999851,0.34814194053358,125278.50638898,2196.4297590661,908.14989490011,0.35317595814849,122502.24988568,43909.58,2196.4296955396,908.15000793663,3.1572618553128
1.4,172503.78314105,135114.19514453,908.05668941251,913.38687323177,0.12886599303305,908.14486860141,900.31823773074,123877.31317591,2008.7949749579,828.73406770929,1.6038954447541,125809.94697785,2009.1374287375,828.03231816086,1.6038954447539,100538.08215084,2196.4296828244,908.15003056158,3.5480221307588,111132.88588586,2196.4296972574,908.15000488012,3.6180304599112,109278.98488698,2200.8268984608,900.32580345046,3.5759485048665,128486.11391868,2199.0480694957,903.49097954505,3.5720989266239,122118.46673659,2197.4105914114,906.40464161679,3.5721168182044,134960.11985005,2193.4886091227,913.3832577887,0.39688953635544,172451.27154535,2196.4296999984,908.1500000029,0.39185123201697,172352.77620741,2196.4297000006,908.14999999887,0.39185123201697,125548.74899453,2196.4298149491,908.14979546429,0.39688697763058,119747.39989596,43909.58,2196.4296890587,908.15001946847,3.5480221306601
1.6,172769.97324521,135416.91859071,908.15314120329,914.13555638552,0.14165962935934,908.14585923182,898.70675626337,123853.37649021,2008.2069509321,829.93903497518,1.6044353734283,125787.23831804,2008.5890673286,829.15600957263,1.604435373428,98190.141638932,2196.4297081202,908.1499855513,3.8957154203864,108118.171522,2196.4296932625,908.15001198841,3.9725843119648,106345.16061457,2201.7324292662,898.71453867227,3.9296485588531,125676.37468498,2200.1588210455,901.5145532999,3.9266219550347,119404.6581859,2198.4779772907,904.50537848623,3.9266455427908,135231.20131716,2193.0678495799,914.13194024923,0.4357836713232,172675.45705209,2196.4296999991,908.15000000162,0.43074304627086,172588.26980735,2196.4297000004,908.14999999931,0.43074304627086,125827.18267802,2196.4297731303,908.14986987492,0.43578046079174,117036.29226405,43909.58,2196.4296890349,908.15001951092,3.895715420549
1.8,173080.93448804,135763.52447716,908.18708708927,914.8843831871,0.15288553641624,908.1462632794,897.07947440038,123822.25037365,2007.5715451296,831.24109604599,1.604920253272,125757.66944475,2007.9820245497,830.39994969328,1.6049202532717,96047.448392168,2196.4297484665,908.14991376062,4.2008435583233,105380.57427418,2196.42969263,908.15001311381,4.2837331320014,103539.78731393,2202.6469184044,897.08733379992,4.2405328838943,123018.93164574,2201.2100908732,899.64396641777,4.2377412022525,116859.35053838,2199.748661154,902.24437517076,4.2377664967017,135547.61668131,2192.6470093074,914.88076635698,0.46991644016411,172945.59154042,2196.4297,908.14999999991,0.4648735140061,172869.58093327,2196.4297000001,908.1499999998,0.4648735140061,126151.03688298,2196.4296398765,908.15010698134,0.46991254356402,114564.91228215,43909.58,2196.4297084576,908.14998495082,4.2008435588697
