time,SiC_stress,ave_gas_temp,buffer_void_volume,fis_gas_released,gap_volume,gas_pressure,initial_moles,kernel_th_density,kernel_void_volume,max_burnup,max_fluence,particle_power,strength_IPyC,strength_SiC
0,0,973.15,4.6318149189087e-11,0,0,0,0,11212.655575986,7.7149806947784e-13,0,0,0.10140016350603,0,0
<<<<<<< HEAD
<<<<<<< HEAD
86400,277183272.54664,1248.7546039861,4.6370436911999e-11,3.7419398749191e-12,0,0,0,11212.655575986,1.1329922374636e-12,0.00027031087135804,5.0112e+22,0.10140016350603,1.7976931348623e+308,455188093.80922
172800,-16870799.167791,997.32343506549,4.6109297533483e-11,8.1094468294417e-12,1.0819411312333e-13,816.01296053806,0,11212.655575986,8.8007383209129e-13,0.00054062174271608,1.50336e+23,0.10140016350603,1.7976931348623e+308,1.7976931348623e+308
259200,-29599187.590363,997.71312251674,4.5947098679644e-11,1.3020333601401e-11,2.4202983397429e-13,1423.7461498044,0,11212.655575986,9.0944261391659e-13,0.00081093261407412,2.5056e+23,0.10140016350603,208500569.46978,1.7976931348623e+308
345600,-42019990.719669,998.15717796564,4.5783377002519e-11,1.8385404207236e-11,3.7768808218979e-13,2286.6889832104,0,11212.655575986,9.3910759772537e-13,0.0010812434854322,3.50784e+23,0.10140016350603,208913555.65064,1.7976931348623e+308
432000,-54139880.257791,998.60553639257,4.5618275675905e-11,2.4152861741104e-11,5.1509042593066e-13,3230.1348955644,0,11212.655575986,9.6899013622166e-13,0.0013515543567902,4.51008e+23,0.10140016350603,209275495.27477,1.7976931348623e+308
518400,-65964882.031871,999.05749691609,4.545199510182e-11,3.0284910162042e-11,6.5404125570328e-13,4244.991230124,0,11212.655575986,9.9907260095359e-13,0.0016218652281482,5.51232e+23,0.10140016350603,209616695.36044,1.7976931348623e+308
604800,-77500903.875738,999.51241795742,4.5284718983177e-11,3.6752544476653e-11,7.9436050667241e-13,5324.6751937225,0,11212.655575986,1.0293387435033e-12,0.0018921760995063,6.51456e+23,0.10140016350603,209947545.1488,1.7976931348623e+308
691200,-88753740.353572,999.96971245223,4.5116615672728e-11,4.3532652873919e-11,9.358824074333e-13,6464.1359404069,0,11212.655575986,1.0597735900428e-12,0.0021624869708643,7.5168e+23,0.10140016350603,210272565.52854,618808756.02776
777600,-99729075.965005,1000.4288434537,4.4947839415751e-11,5.0606282363868e-11,1.0784543296208e-12,7659.3477442521,0,11212.655575986,1.0903633437127e-12,0.0024327978422224,8.51904e+23,0.10140016350603,210594038.48011,618506829.65699
864000,-110432487.70386,1000.8893200722,4.477853149504e-11,5.7957536743579e-11,1.2219357289876e-12,8907.0068538601,0,11212.655575986,1.1210952942601e-12,0.0027031087135804,9.52128e+23,0.10140016350603,210913239.69216,618259918.93934
950400,-120869447.25351,1001.3506937265,4.4608821285633e-11,6.5572841130661e-11,1.3661971705638e-12,10204.339022652,0,11212.655575986,1.1519577344296e-12,0.0029734195849384,1.052352e+24,0.10140016350603,211230937.6851,618052204.429
1036800,-131045322.96552,1001.8125546846,4.4438827226109e-11,7.3440430953849e-11,1.5111194313175e-12,11548.971185049,0,11212.655575986,1.1829398826211e-12,0.0032437304562965,1.152576e+24,0.10140016350603,211547622.66945,617873472.75686
1123200,-140965381.71858,1002.2745288764,4.4268657712767e-11,8.1549984853452e-11,1.6565926743303e-12,12938.842399646,0,11212.655575986,1.2140318113608e-12,0.0035140413276545,1.2528e+24,0.10140016350603,211863621.73119,617716834.35181
1209600,-150634790.67401,1002.7362749566,4.4098411922509e-11,8.9892353491747e-11,1.8025156890174e-12,14372.139959544,0,11212.655575986,1.2452243811637e-12,0.0037843521990125,1.353024e+24,0.10140016350603,212179161.16819,617577472.02916
1296000,-160058618.97365,1003.1974816017,4.3928180569877e-11,9.8459354414034e-11,1.9487951923009e-12,15847.252268319,0,11212.655575986,1.2765091793929e-12,0.0040546630703706,1.453248e+24,0.10140016350603,212494402.26211,617451915.40271
1382400,-169241839.39394,1003.6578650228,4.3758046603282e-11,1.0724361369165e-10,2.095345186033e-12,17362.733255985,0,11212.655575986,1.3078784637465e-12,0.0043249739417286,1.553472e+24,0.10140016350603,212809462.81194,617337600.17138
1468800,-178189329.95615,1004.1171666799,4.3588085845107e-11,1.1623844150987e-10,2.2420863663226e-12,18917.274963147,0,11212.655575986,1.3393251100342e-12,0.0045952848130867,1.653696e+24,0.10140016350603,213124430.62918,617232589.80941
1555200,-186905875.5094,1004.5751511818,4.3418367580024e-11,1.254377329111e-10,2.3889455807144e-12,20509.686047477,0,11212.655575986,1.3708425639278e-12,0.0048655956844447,1.75392e+24,0.10140016350603,213439372.29324,617135393.95206
1641600,-195396169.28699,1005.0316043561,4.3248955095569e-11,1.3483588752767e-10,2.5358553294788e-12,22138.874675018,0,11212.655575986,1.4024247963865e-12,0.0051359065558027,1.854144e+24,0.10140016350603,213754338.99784,617044846.33558
1728000,-203664814.4386,1005.4863314799,4.3079906178707e-11,1.4442774388617e-10,2.6827533075458e-12,23803.834718092,0,11212.655575986,1.4340662624902e-12,0.0054062174271608,1.954368e+24,0.10140016350603,214069370.55991,616960020.76514
1814400,-211716325.54207,1005.9391556543,4.2911273571843e-11,1.5420852505757e-10,2.8295819838693e-12,25503.634487493,0,11212.655575986,1.4657618634221e-12,0.0056765282985188,2.054592e+24,0.10140016350603,214384498.22815,616880171.94812
